iter	Passed	Remaining
325	1451	3001
326	1457	2999
327	1461	2993
328	1464	2987
329	1468	2982
330	1473	2978
331	1477	2972
332	1481	2966
333	1485	2961
334	1489	2957
335	1493	2951
336	1497	2945
337	1501	2941
338	1505	2936
339	1509	2930
340	1513	2924
341	1518	2921
342	1522	2916
343	1525	2909
344	1529	2904
345	1534	2899
346	1538	2894
347	1541	2887
348	1545	2882
349	1550	2879
350	1556	2877
351	1560	2872
352	1565	2868
353	1569	2864
354	1573	2859
355	1577	2853
356	1582	2849
357	1586	2845
358	1590	2839
359	1594	2833
360	1598	2830
361	1603	2825
362	1606	2819
363	1610	2813
364	1615	2810
365	1618	2804
366	1622	2798
367	1626	2792
368	1630	2788
369	1634	2782
370	1638	2778
371	1642	2773
372	1647	2769
373	1651	2764
374	1655	2758
375	1658	2752
376	1662	2747
377	1666	2741
378	1669	2736
379	1673	2730
380	1677	2726
381	1681	2720
382	1685	2715
383	1690	2711
384	1694	2707
385	1698	2701
386	1701	2695
387	1705	2690
388	1710	2686
389	1713	2680
390	1717	2674
391	1720	2668
392	1725	2664
393	1728	2658
394	1732	2652
395	1735	2647
396	1740	2643
397	1744	2638
398	1747	2632
399	1751	2626
400	1755	2622
401	1760	2619
402	1764	2613
403	1767	2607
404	1773	2605
405	1777	2600
406	1781	2595
407	1785	2591
408	1790	2587
409	1795	2583
410	1799	2578
411	1804	2575
412	1808	2570
413	1812	2564
414	1816	2560
415	1820	2555
416	1824	2550
417	1828	2545
418	1831	2540
419	1836	2536
420	1840	2531
421	1843	2525
422	1847	2520
423	1852	2516
424	1856	2511
425	1859	2506
426	1863	2501
427	1868	2496
428	1871	2491
429	1875	2485
430	1878	2480
431	1883	2476
432	1887	2471
433	1890	2465
434	1894	2460
435	1899	2456
436	1903	2452
437	1907	2447
438	1911	2442
439	1916	2438
440	1919	2433
441	1923	2428
442	1926	2422
443	1931	2418
444	1935	2413
445	1939	2409
446	1944	2405
447	1948	2400
448	1952	2395
449	1955	2390
450	1959	2385
451	1963	2380
452	1967	2375
453	1971	2371
454	1975	2366
455	1980	2362
456	1984	2357
457	1987	2352
458	1992	2348
459	1996	2343
460	2000	2338
461	2003	2333
462	2007	2328
463	2011	2323
464	2015	2318
465	2018	2313
466	2022	2308
467	2027	2304
468	2030	2298
469	2033	2293
470	2037	2288
471	2042	2285
472	2047	2280
473	2050	2275
474	2055	2271
475	2059	2267
476	2063	2262
477	2068	2258
478	2073	2255
479	2077	2250
480	2081	2246
481	2085	2241
482	2089	2237
483	2093	2232
484	2097	2227
485	2100	2222
486	2105	2217
487	2108	2212
488	2112	2207
489	2115	2202
490	2120	2198
491	2123	2192
492	2127	2187
493	2131	2182
494	2135	2178
495	2138	2173
496	2142	2167
497	2145	2163
498	2149	2157
499	2153	2153
500	2156	2148
501	2160	2143
502	2164	2138
503	2168	2134
504	2172	2129
505	2175	2124
506	2179	2118
507	2183	2114
508	2187	2109
509	2190	2104
510	2194	2099
511	2197	2094
512	2202	2090
513	2205	2085
514	2209	2080
515	2213	2076
516	2217	2071
517	2221	2066
518	2224	2061
519	2227	2056
520	2232	2052
521	2235	2047
522	2239	2042
523	2242	2037
524	2246	2032
525	2250	2027
526	2254	2023
527	2257	2018
528	2261	2013
529	2265	2008
530	2268	2003
531	2272	1998
532	2275	1993
533	2280	1989
534	2284	1985
535	2287	1980
536	2291	1975
537	2295	1971
538	2299	1966
539	2303	1961
540	2306	1956
541	2310	1952
542	2314	1948
543	2319	1943
544	2322	1939
545	2327	1935
546	2330	1930
547	2334	1925
548	2337	1920
549	2341	1915
550	2345	1911
551	2349	1906
552	2352	1901
553	2356	1896
554	2361	1893
555	2365	1889
556	2369	1884
557	2372	1879
558	2377	1875
559	2381	1871
560	2384	1866
561	2388	1861
562	2393	1857
563	2397	1853
564	2400	1848
565	2405	1844
566	2409	1840
567	2413	1835
568	2417	1830
569	2421	1826
570	2424	1821
571	2428	1817
572	2431	1812
573	2436	1808
574	2440	1804
575	2444	1799
576	2447	1794
577	2451	1790
578	2455	1785
579	2459	1780
580	2462	1775
581	2466	1771
582	2470	1767
583	2474	1762
584	2477	1757
585	2481	1753
586	2485	1748
587	2489	1744
588	2493	1739
589	2497	1735
590	2502	1731
591	2505	1726
592	2509	1722
593	2512	1717
594	2516	1712
595	2519	1708
596	2523	1703
597	2527	1698
598	2530	1694
599	2534	1689
600	2538	1685
601	2541	1680
602	2545	1675
603	2549	1671
604	2553	1666
605	2556	1662
606	2560	1657
607	2564	1653
608	2567	1648
609	2571	1643
610	2574	1639
611	2578	1634
612	2582	1630
613	2585	1625
614	2589	1621
615	2592	1616
616	2597	1612
617	2601	1607
618	2604	1603
619	2608	1598
620	2612	1594
621	2616	1589
622	2619	1585
623	2623	1580
624	2627	1576
625	2631	1571
626	2634	1567
627	2638	1562
628	2641	1558
629	2646	1554
630	2649	1549
631	2653	1544
632	2656	1540
633	2660	1536
634	2664	1531
635	2667	1526
636	2671	1522
637	2674	1517
638	2679	1513
639	2682	1508
640	2686	1504
641	2689	1499
642	2695	1496
643	2699	1492
644	2703	1488
645	2708	1484
646	2711	1479
647	2715	1474
648	2718	1470
649	2722	1466
650	2726	1461
651	2729	1457
652	2733	1452
653	2737	1448
654	2742	1444
655	2745	1439
656	2749	1435
657	2753	1431
658	2758	1427
659	2763	1423
660	2767	1419
661	2771	1415
662	2776	1411
663	2780	1406
664	2783	1402
665	2788	1398
666	2792	1394
667	2796	1389
668	2799	1385
669	2803	1381
670	2807	1376
671	2810	1372
672	2814	1367
673	2818	1363
674	2822	1359
675	2826	1354
676	2830	1350
677	2833	1345
678	2837	1341
679	2841	1337
680	2845	1332
681	2848	1328
682	2853	1324
683	2857	1320
684	2860	1315
685	2864	1311
686	2868	1306
687	2871	1302
688	2875	1297
689	2879	1293
690	2883	1289
691	2887	1285
692	2890	1280
693	2894	1276
694	2898	1272
695	2902	1267
